"ELISA KIT IN BIOLOGUCAL AND DEVELOPMENT LAB,R&D",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Sl No.,Elisa Kit Name,Batch No,Lot no.,Qty.,Receiving date,Condition,Remaining times of Experiment  ,Total In Stock,Remarks/ Comments ,Stock Status,Alarm,Remaining Numeric,,STOCK ALARM LEGEND,
,13,,,1139716-3,1,14-Feb-26,Open (2/16/2026),2 times,,"Wash B. Null, 5 Strip present, half STD, HRP=Half,",LOW STOCK,REORDER SOON,2,,,
,14,Nivolumab ,AB 237651,1125911-2,1,6-Apr-26,Open (02 Aug 2026),4.5 Time (Both),4,1.5 time run done & 19 wells used from plate,OK,OK,4.5,,,
,15,,,1125911-2,1,6-Apr-26,open (03 Aug 2026),4 Time (Both),,1.5 time run done & 3 Strip used from plate,OK,OK,4,,,
,16,,,1108910-2,1,N/A,Open,0 Time,,"TMB,HRP,STOP =Low, No Strip plate presenmt, STD=ok",CRITICAL,FLASH / REORDER NOW,0,,,
,17,,,1125911-1,1,N/A,Open,2 times,,"Strip=4 pcs, TMB,HRP,Stop=Half, STD=ok",LOW STOCK,REORDER SOON,2,,,
,18,Human G-CSF Instant ELISA™ Kit,BMS2001INST,356924-011,1,N/A,Open ,1 Time,2,"EXP: 31-07-26, 1 Strip STD, 9 Sample strip, 9mL S Diluent, 7mL TMB ",CRITICAL,FLASH / REORDER NOW,0,,,
,20,,,458523-003,1,1-Aug-26,Open (08 Aug 2026),2 Times,,"STD- 01 Strip used, Sample: 01 Strip used, S diluent- 04 mL used, TMB & Stop-1.5 mL used- EXP: 31 Mar 2027",LOW STOCK,REORDER SOON,2,,,
,21,Human EPO ELISA KIT ,BMS2035-2,462740-001,1,8/1/2026,Open (04 Aug 2026),1 Times,3,"1 STD Standard Used, 8 Strip used, Biotin used 32uL and streptavidin use 65 uL, EXP: 30 Sep 2028",LOW STOCK,REORDER SOON,1,,,
,22,,,447828-005,1,N/A,Open,1 Time,,"5 Strips remaining, one standard finished and one standard remaining",LOW STOCK,REORDER SOON,1,,,
,23,,,462740-001,1,N/A,Open,0 Times,,"5 Strips remaining, Std= Finished, Sample dil, Stop=4 mL, Assay=2 mL, Wash=half",CRITICAL,FLASH / REORDER NOW,0,,,
,24,Denosumab,AB237649,1118483-3,1,N/A,Open,3 Times,3,"8 Strips remaining, STD= 5 No is low, other reagents present , used once",OK,OK,3,,,
,25,,,1118483-1,1,17-Jun-25,Open,0 Times,,"No strips, 2 set of STD present, Assay= 8 mL, All reagents present in low level",CRITICAL,FLASH / REORDER NOW,0,,,
,26,,,1118483-2,1,N/A,Intact,6 Times,,"Strips= full, not air sucked, All reagent present, STD= 2 No is low",OK,OK,6,,,
,27,Cetuximab,AB237648,1076362-1,1,N/A,Intact,  6 Times,5,"      Plates are air sucked, All reagents present, 2 Wash Buffer present",OK,OK,6,,,
,28,,,1076362-1,1,2-Sep-25,Intact,6 Times,,"Plates are air sucked, All reagents presnet, Stop solution= Not full",OK,OK,6,,,
,29,,,1055909-2,1,17-Jun-25,Open,4 Times,,"8 strips remaining, HRP, TMB, Stop solution=Half",OK,OK,4,,,
,30,,,1084636-1,1,6-Apr-26,Intact,6 Times,,All ok,OK,OK,6,,,
,31,,,1084636-1,1,6-Apr,Open,3 Times,,"6 Strips remaining, Plates not air sucked",OK,OK,3,,,
,32,Adalimumab,AB237641,1140900-1,1,4/6/2026,Open,5 Times,2,"10 Strips remaining, STD 3 no is low (problem)",OK,OK,5,,,
,33,,,1140900-1,1,2/14/2026,Open,0 Times,,"No plate, No Wash Buffer",CRITICAL,FLASH / REORDER NOW,0,,,
,34,Bevacizumab,AB237642,1122943-2,1,N/A,Open,5 Times,3,"10 Strips remianing, HRP, TMB, Stop= 10 mL, Wash= 25 mL, Assay= 2 bottle",OK,OK,5,,,
,35,,,1113720-1,1,N/A,Open,5 Times,,"9 Strips remaining, HRP, TMB, Stop= 10 mL, Wash= Half, Assay= 40 mL",OK,OK,5,,,
,36,,,1113411-1,1,N/A,Intact,0 Times,,"All present, For practrice",CRITICAL,FLASH / REORDER NOW,0,,,
,37,KRIBIOLISATM Epo (Erythropoietin) ELISA,REF: KBBA01,EPO00325,1,N/A,Open,0 Times,1,"5 Strips remaining, Assay & STD= Finished, Stop, TMB & Wah= Half",CRITICAL,FLASH / REORDER NOW,0,,,
,38,GENLLISA  Human HER-2 ELISA ,REF: KBH11521,Lot: HERR20626,1,N/A,Open,2/3 Times,1,"9 Strip Present, 31.05.2027,",LOW STOCK,REORDER SOON,2,,,
